garden_area,terrace_area,locality,type_of_property,subtype_of_property,type_of_sale,zip_code,url,state_of_the_building,terrace,open_fire,swimming_pool,price,garden,number_of_facades,number_of_rooms,fully_equipped_kitchen,area,furnished,surface_of_the_land,area_text,bid,equipped_kitchen
0,0,blankenberge,apartment,apartment,for-sale,8370,https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/10051663?searchId=633aeaf0f074c,as new,0,0,0,275000,0,,2,,73,,0,numeric,0,
0,24,zwevezele,apartment,apartment,for-sale,8750,https://www.immoweb.be/en/classified/apartment/for-sale/zwevezele/8750/9763435?searchId=633aeaf0f074c,as new,1,0,0,275000,0,2,2,Installed,93,0,0,numeric,0,1.0
0,0,ninove,apartment,apartment,for-sale,9400,https://www.immoweb.be/en/classified/apartment/for-sale/ninove/9400/9880408?searchId=633aeaf0f074c,good,0,0,0,275000,0,3,3,,120,0,0,numeric,0,
0,0,meerbeke,apartment,apartment,for-sale,9402,https://www.immoweb.be/en/classified/apartment/for-sale/meerbeke/9402/9880409?searchId=633aeaf0f074c,good,0,0,0,275000,0,3,3,,120,0,0,numeric,0,
0,0,meerbeke,apartment,apartment,for-sale,9402,https://www.immoweb.be/en/classified/apartment/for-sale/meerbeke/9402/9880406?searchId=633aeaf0f074c,good,0,0,0,275000,0,3,3,,120,0,0,numeric,0,
0,10,oudenaarde,apartment,apartment,for-sale,9700,https://www.immoweb.be/en/classified/apartment/for-sale/oudenaarde/9700/9950213?searchId=633aeaf0f074c,as new,1,0,0,275000,0,2,3,,130,0,0,numeric,0,
0,0,halle,apartment,apartment,for-sale,1500,https://www.immoweb.be/en/classified/apartment/for-sale/halle/1500/9486552?searchId=633aeaf0f074c,not mentioned,0,0,0,279900,0,,2,,109,0,0,numeric,0,
0,25,watermael-boitsfort,apartment,ground-floor,for-sale,1170,https://www.immoweb.be/en/classified/ground-floor/for-sale/watermael-boitsfort/1170/10113190?searchId=633aeaf0f074c,good,1,0,0,285000,0,2,2,,91,0,0,numeric,0,
0,0,steendorp,apartment,apartment,for-sale,9140,https://www.immoweb.be/en/classified/apartment/for-sale/steendorp/9140/10101116?searchId=633aeaf0f074c,not mentioned,0,0,0,286000,0,,2,Installed,85,0,0,numeric,0,1.0
0,0,antwerp,apartment,apartment,for-sale,2050,https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2050/10109068?searchId=633aeaf0f074c,as new,0,0,0,287000,0,,2,Hyper equipped,,,0,na,0,1.0
0,0,borsbeek,apartment,duplex,for-sale,2150,https://www.immoweb.be/en/classified/duplex/for-sale/borsbeek/2150/10047381?searchId=633aeaf0f074c,good,0,0,0,289000,0,2,3,,125,,0,numeric,0,
0,0,halle,apartment,apartment,for-sale,1500,https://www.immoweb.be/en/classified/apartment/for-sale/halle/1500/9486554?searchId=633aeaf0f074c,not mentioned,0,0,0,289900,0,,2,,109,0,0,numeric,0,
