garden_area,terrace_area,locality,type_of_property,subtype_of_property,type_of_sale,zip_code,url,state_of_the_building,terrace,open_fire,swimming_pool,price,garden,number_of_facades,number_of_rooms,fully_equipped_kitchen,area,furnished,surface_of_the_land,area_text,bid,equipped_kitchen
335,36,seraing,house,house,bid,4100,https://www.immoweb.be/en/classified/house/for-sale/seraing/4100/9819963?searchId=633aeaf1e42e4,good,1,0,0,189000,1,2,4,Installed,120,0,420,numeric,1,1.0
280,40,saint-nicolas,house,house,bid,4420,https://www.immoweb.be/en/classified/house/for-sale/saint-nicolas/4420/10028451?searchId=633aeaf1e42e4,to rebuild,1,0,0,189000,1,2,5,Semi equipped,195,0,324,numeric,1,1.0
30,4,liege,house,house,bid,4000,https://www.immoweb.be/en/classified/house/for-sale/liege/4000/10069057?searchId=633aeaf1e42e4,good,1,0,0,194000,1,2,3,Installed,88,0,90,numeric,1,1.0
190,31,riemst,house,house,bid,3770,https://www.immoweb.be/en/classified/house/for-sale/riemst/3770/10015159?searchId=633aeaf1e42e4,just renovated,1,0,0,199000,1,3,2,Not installed,110,0,277,numeric,1,0.0
100,56,liege,house,mixed-use-building,bid,4020,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/liege/4020/9737379?searchId=633aeaf1e42e4,good,1,0,0,199000,1,3,2,USA semi equipped,191,0,305,numeric,1,1.0
536,63,oupeye,house,house,bid,4682,https://www.immoweb.be/en/classified/house/for-sale/oupeye/4682/9768237?searchId=633aeaf1e42e4,good,1,0,0,199000,1,4,3,Semi equipped,111,1,652,numeric,1,1.0
64,0,jemeppe-sur-meuse,house,mixed-use-building,for-sale,4101,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/jemeppe-sur-meuse/4101/10098942?searchId=633aeaf1e42e4,to renovate,0,0,0,210000,1,2,3,Not installed,135,0,1020,numeric,0,0.0
705,25,hampteau,house,house,bid,6990,https://www.immoweb.be/en/classified/house/for-sale/hampteau/6990/10067823?searchId=633aeaf1e42e4,good,1,0,0,215000,1,3,5,Installed,196,0,899,numeric,1,1.0
0,22,herstal,house,house,bid,4040,https://www.immoweb.be/en/classified/house/for-sale/herstal/4040/10101773?searchId=633aeaf1e42e4,just renovated,1,0,0,220000,0,2,2,USA hyper equipped,90,0,143,numeric,1,1.0
85,25,ronse,house,house,for-sale,9600,https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/10008305?searchId=633aeaf1e42e4,as new,1,0,0,225000,1,2,4,Installed,169,0,190,numeric,0,1.0
